,original,first_digit,second_digit
8,75.82,7,5
10,152.69,1,5
20,151.69,1,5
32,257.50,2,5
41,55.46,5,5
42,"2,515.38",2,5
44,350.00,3,5
52,"15,481.23",1,5
67,450.00,4,5
80,552.00,5,5
87,"1,500.00",1,5
95,550.00,5,5
96,"45,219.23",4,5
113,"7,539.48",7,5
122,"7,586.43",7,5
126,755.13,7,5
128,75.76,7,5
140,"2,500.00",2,5
144,750.00,7,5
150,150.08,1,5
162,250.00,2,5
169,553.04,5,5
172,"25,310.13",2,5
188,"1,575.55",1,5
191,"55,121.26",5,5
193,"7,503.93",7,5
223,"5,544.56",5,5
250,"1,560.12",1,5
251,"8,510.98",8,5
277,253.60,2,5
284,"1,505.86",1,5
303,85.76,8,5
304,"8,530.11",8,5
308,"9,543.28",9,5
312,"15,396.05",1,5
324,25.40,2,5
327,75.00,7,5
363,"6,599.00",6,5
364,"1,547.54",1,5
366,"5,525.00",5,5
375,"1,586.00",1,5
398,753.75,7,5
409,"1,544.39",1,5
411,25.00,2,5
419,35.00,3,5
420,"8,579.70",8,5
427,"15,550.72",1,5
450,754.34,7,5
456,"-5,544.56",5,5
462,"9,505.50",9,5
463,451.74,4,5
486,"5,560.00",5,5
491,35.26,3,5
548,"7,520.78",7,5
590,"8,595.48",8,5
622,"15,048.08",1,5
629,"45,520.84",4,5
630,"4,521.40",4,5
653,"25,370.11",2,5
662,"8,576.19",8,5
691,"1,582.81",1,5
704,553.60,5,5
719,"15,366.69",1,5
725,"7,591.81",7,5
745,"2,569.67",2,5
746,"1,598.88",1,5
749,"25,278.43",2,5
764,"15,560.82",1,5
775,"6,522.19",6,5
810,"6,500.37",6,5
817,"1,582.18",1,5
818,"8,505.05",8,5
826,550.03,5,5
863,"2,546.46",2,5
874,95.79,9,5
876,15.78,1,5
877,"8,556.99",8,5
880,"75,399.96",7,5
882,"15,731.50",1,5
884,"35,305.63",3,5
899,65.00,6,5
900,150.00,1,5
913,85.71,8,5
928,"25,000.18",2,5
933,"25,717.75",2,5
944,"8,599.71",8,5
946,359.30,3,5
957,"2,590.00",2,5
959,159.75,1,5
995,"35,601.24",3,5
1006,"8,583.77",8,5
1044,251.04,2,5
1061,"15,007.58",1,5
1062,"15,055.27",1,5
1089,75.12,7,5
1096,956.91,9,5
1098,"9,542.10",9,5
1135,"35,866.26",3,5
1145,"35,841.93",3,5
1151,15.00,1,5
1155,"5,512.35",5,5
1166,"35,116.53",3,5
1171,"25,292.13",2,5
1172,"2,550.00",2,5
1174,"5,503.95",5,5
1202,"2,592.53",2,5
1220,"15,149.36",1,5
1230,"-2,550.00",2,5
1235,752.35,7,5
1243,"45,946.80",4,5
1246,"2,553.73",2,5
1251,"1,559.96",1,5
1256,"2,502.53",2,5
1265,"4,546.55",4,5
1269,"7,500.00",7,5
1285,950.31,9,5
1303,"15,180.85",1,5
1336,"15,112.58",1,5
1345,"35,558.27",3,5
1365,257.00,2,5
1368,359.81,3,5
1373,55.64,5,5
1378,"5,527.32",5,5
1404,"1,543.00",1,5
1417,252.86,2,5
1437,351.11,3,5
1450,"5,556.00",5,5
1467,"35,605.79",3,5
1472,"25,379.02",2,5
1530,"15,466.26",1,5
1546,157.00,1,5
1548,"3,518.95",3,5
1605,"15,866.83",1,5
1609,"55,185.77",5,5
1648,"15,021.60",1,5
1654,"5,599.13",5,5
1658,85.00,8,5
1684,"55,933.82",5,5
1689,"25,863.17",2,5
1712,25.61,2,5
1716,"1,549.81",1,5
1719,"55,765.20",5,5
1723,"15,794.40",1,5
1726,158.68,1,5
1730,"9,569.99",9,5
1761,"3,552.55",3,5
1770,456.88,4,5
1779,"15,413.88",1,5
1827,"25,050.43",2,5
1836,"9,567.58",9,5
1845,153.19,1,5
1849,-150.00,1,5
1865,656.26,6,5
1873,350.43,3,5
1877,"45,355.60",4,5
1883,"8,525.80",8,5
1920,"25,710.44",2,5
1924,"25,252.61",2,5
1927,"65,628.04",6,5
1933,"4,557.26",4,5
1938,"15,462.50",1,5
1946,45.75,4,5
1969,"6,565.92",6,5
1970,153.85,1,5
1990,"1,516.59",1,5
2013,"3,525.35",3,5
2036,256.02,2,5
2039,353.49,3,5
2048,"7,537.20",7,5
2080,953.37,9,5
2127,"6,552.00",6,5
15,87.35,8,7
33,84.24,8,4
54,806.42,8,0
71,89.84,8,9
88,895.62,8,9
93,897.89,8,9
111,"8,409.72",8,4
112,"8,972.90",8,9
139,"8,037.79",8,0
212,889.18,8,8
285,"8,152.57",8,1
323,"8,135.42",8,1
365,"8,298.46",8,2
410,"8,320.79",8,3
422,"8,218.42",8,2
425,"8,015.95",8,0
444,"8,611.49",8,6
445,899.44,8,9
511,"8,772.80",8,7
543,"8,157.78",8,1
550,"8,779.51",8,7
586,"82,336.65",8,2
601,"8,998.55",8,9
605,892.49,8,9
641,81.61,8,1
649,"8,832.00",8,8
650,"8,395.97",8,3
671,888.80,8,8
715,"8,482.02",8,4
747,"8,497.69",8,4
752,841.69,8,4
762,84.22,8,4
782,"8,639.21",8,6
787,889.68,8,8
790,82.54,8,2
835,82.50,8,2
847,"8,771.10",8,7
860,800.00,8,0
894,"8,742.00",8,7
897,"8,018.22",8,0
916,884.04,8,8
927,"81,366.57",8,1
962,"8,140.98",8,1
979,"8,803.13",8,8
981,899.65,8,9
1009,86.25,8,6
1027,"8,971.04",8,9
1055,"8,063.75",8,0
1127,"8,311.39",8,3
1133,88.75,8,8
1144,"8,439.20",8,4
1185,"8,817.54",8,8
1190,876.12,8,7
1193,839.19,8,3
1228,"8,908.86",8,9
1252,"8,803.50",8,8
1253,"8,331.46",8,3
1295,"8,902.91",8,9
1302,"88,006.27",8,8
1317,"8,678.66",8,6
1332,84.67,8,4
1333,"8,847.29",8,8
1340,"8,852.93",8,8
1393,"8,904.00",8,9
1412,"8,484.29",8,4
1416,"8,358.00",8,3
1421,"83,660.42",8,3
1460,"8,120.92",8,1
1502,"8,020.56",8,0
1515,8.42,8,NaN
1519,"8,869.58",8,8
1545,82.67,8,2
1550,"8,846.56",8,8
1565,-8.42,8,NaN
1579,"8,916.25",8,9
1581,"8,302.78",8,3
1591,804.69,8,0
1596,"8,257.01",8,2
1626,"8,798.80",8,7
1644,"8,184.96",8,1
1646,"80,767.28",8,0
1679,"8,148.84",8,1
1695,"8,857.34",8,8
1697,"8,794.12",8,7
1741,808.08,8,0
1828,"8,149.59",8,1
1867,831.77,8,3
1907,"8,435.56",8,4
1915,87.40,8,7
1986,806.29,8,0
1993,"8,331.90",8,3
2001,"8,350.45",8,3
2033,"8,846.52",8,8
2040,897.38,8,9
2111,860.89,8,6
2113,889.97,8,8
2125,"8,978.05",8,9
